3580.84,3699.71
3045.98,3545.69
2962.4,2673.58
2444.67,2458.21
2358.03,2210.96
2343.52,2151.47
2228.2,2149.17
2149.17,2095.05
2081.92,2055.63
2055.63,2033.63
1927.63,2029.59
1927.63,1931.5
1927.63,1927.63
1927.63,1927.63
1916.14,1854.7
1868.76,1854.7
1789.7,1848.5
1754.86,1822.09
1754.46,1789.7
1739.2,1789.7
1734.82,1789.7
1734.82,1789.62
1683.75,1757.09
1656.42,1734.82
1656.42,1678.06
1647.7,1656.42
1577.5,1656.42
1570.18,1656.42
1570.18,1656.42
1570.18,1656.42
1518.7,1646.98
1518.7,1570.18
1518.7,1570.18
1518.7,1570.18
1518.7,1570.18
1518.7,1570.18
1518.7,1518.7
1518.7,1518.7
1518.7,1518.7
1468.98,1518.7
1458.1,1518.7
1452.76,1499.16
1428.09,1464.12
1409.85,1419.8
1387.45,1389.6
1367.38,1387.45
1359.2,1385.01
1358.56,1382.55
1339.8,1349.42
1323.75,1343.1
1323.75,1339.9
1323.75,1335.75
1314.78,1323.75
1297.57,1323.75
1297.57,1323.75
1268.57,1323.75
1266.77,1297.57
1259.73,1297.57
1250.66,1296.96
1247.22,1289.1
1243.98,1277.75
1234.91,1261.82
1216.4,1246
1203.36,1243.98
1188.86,1243.98
1169.38,1242.53
1160.83,1222.26
1160.1,1192.28
1160.1,1161.07
1160.1,1160.1
1160.1,1160.1
1160.1,1160.1
1160.1,1160.1
1160.1,1160.1
1160.1,1160.1
1159.31,1160.1
1148.3,1160.1
1105.41,1160.1
1104.88,1160.1
1079.73,1160.1
1068.94,1160.1
1062.49,1136.81
1037.05,1115.58
1019.7,1111.07
1001.96,1110.14
997.06,1089.5
994.92,1089.5
980.57,1086.77
968.38,1068.77
965.48,1068.76
965.48,1067.86
959.7,1054.72
959.32,1041.77
954.04,1039.8
936.37,1034.74
935.59,1028.89
919.79,1027.55
917.73,1019.7
917.73,1019.7
917.14,1019.54
909.7,1009.79
908.74,1007.63
901.79,999.23
899.9,997.06
899.9,997.06
899.75,997.06
899.6,997.06
899.5,997.06
899.46,996.64
890.59,995.4
890.57,989.64
889.66,989.64
883.12,989.54
874.3,989.5
869.7,982.79
866.17,980.49
859.7,962.82
859.7,959.52
855.07,949.7
854.55,948.52
852.66,948.46
851.19,935.82
846.19,935.71
839.9,935.57
839.9,935.57
836.75,929.7
836.12,926.82
836.04,917.56
824.32,909.62
824.32,909.62
824.32,909.62
824.32,909.62
824.32,908.57
818.73,899.9
814.35,899.5
812.91,890.57
809.91,889.66
809.72,879.2
809.72,872.16
809.7,871.22
809.7,863.4
808.95,856.81
807.66,856.15
801.02,856.09
799.8,853.53
799.8,853.23
793.95,852.66
793.21,852.66
793.21,851.83
791.59,849.7
773.73,846.02
773.41,846.02
769.87,842.21
769.37,839.9
769.37,839.9
765.96,839.9
764.75,839.9
764.75,839.9
764.75,839.7
763.43,838.5
761.43,836.73
761.43,824.32
759.8,824.32
759.8,821.67
759.8,818.73
756,818.73
755.91,818.73
755.91,813.36
755.91,809.91
755.91,809.91
755.91,809.7
755.91,809.7
755.91,809.7
755.91,807.66
755.91,807.66
755.91,807.66
749.9,807.66
749.9,807.66
749.9,802.16
749.9,800.75
749.9,800.75
749.9,800.29
749.9,799.8
749.9,797.22
749.9,793.95
748.73,793.95
